InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,NBMinColum,Strategy,LowerBound,GenerateCol,maxNbCallHeuristics,Memorization,NBNodes,NBCut,NBCleaning,NBCutInMemo,NBRemInMemo,NBComputeCost,NBCallsHeu,NBCallDP,NBCallSubProcessCG,NBCallSubProcessBaB,isOptimal,Objective
instance4_n_20_N_40_tf_0.8_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.743854,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,13
instance8_n_30_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,0.589624,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance4_n_10_N_40_tf_0.8_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.253575,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
instance3_n_10_N_40_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.116195,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance8_n_10_N_40_tf_0.4_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.10752,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance8_n_30_N_40_tf_0.8_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,12.6507,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,48
instance9_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.120349,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance0_n_20_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.341678,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance8_n_20_N_40_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.315199,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance4_n_30_N_40_tf_0.8_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,261.445,300,nan,depth-first,LB_from_MIP,nan,nan,1,82803,107754,0,131895,0,22,0,0,0,16151,1,46
instance0_n_10_N_40_tf_0.8_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.142961,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance6_n_20_N_40_tf_1.0_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,1.55747,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20
instance9_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0885382,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
instance3_n_30_N_40_tf_1.0_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,30,1,1,2,1,BaB,3.70246,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,119
instance4_n_10_N_40_tf_0.8_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.0808326,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,1
instance0_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,BaB,0.140952,300,1,depth-first,Columns_Generation,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
instance9_n_20_N_40_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,20,1,1,2,1,BaB,0.246269,300,nan,depth-first,LB_from_MIP,nan,nan,1,0,0,0,0,0,0,0,0,0,0,1,0
